ShortName,Name,Missing,Total,Perc_Missing,ExtraName,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP
NA,BLANK.4.SW,1505537,1505790,0.999831981883264,NA,Swarts_etal_2017,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.5.SW,1505785,1505790,0.999996679483859,NA,Swarts_etal_2017,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.6.SW,1505699,1505790,0.999939566606233,NA,Swarts_etal_2017,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.7.SW,1505680,1505790,0.999926948644897,NA,Swarts_etal_2017,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.8.SW,1505720,1505790,0.999953512774026,NA,Swarts_etal_2017,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.9.SW,1505758,1505790,0.999978748696697,NA,Swarts_etal_2017,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA
NA,CIM29379_03.SW,1505790,1505790,1,NA,Swarts_etal_2017,CIM29379_03.SW,NA,Teosinte - Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,JSG_Y_LOS-75_03.SW,1501634,1505790,0.997239986983577,NA,Swarts_etal_2017,JSG_Y_LOS-75,Mexicana − C. Plateau,Teosinte - Mexicana,Unknown,Unknown,20.11388889,-102.8958333,1700,NA,NA,NA,NA
NA,JSG-JMHC-629_01.SW,1504988,1505790,0.999467389210979,NA,Swarts_etal_2017,JSG-JMHC-629,Mexicana − Chalco,Teosinte - Mexicana,Unknown,Unknown,19.07361111,-97.43055556,2670,NA,NA,NA,NA
NA,Ames23482.1.RY,1502675,1505790,0.997931318444139,NA,Romay_etal_2013,Ames23482.1,NA,Inbred,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,Ames28291.11.RY,1505746,1505790,0.999970779457959,NA,Romay_etal_2013,Ames28291.11,NA,Inbred,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,Ames30794.1.RY,1502325,1505790,0.997698882314267,NA,Romay_etal_2013,Ames30794.1,NA,Inbred,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.1.RY,1505789,1505790,0.999999335896772,NA,Romay_etal_2013,BLANK.1,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.10.RY,1505489,1505790,0.99980010492831,NA,Romay_etal_2013,BLANK.10,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.11.RY,1505785,1505790,0.999996679483859,NA,Romay_etal_2013,BLANK.11,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.12.RY,1505495,1505790,0.999804089547679,NA,Romay_etal_2013,BLANK.12,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.13.RY,1505785,1505790,0.999996679483859,NA,Romay_etal_2013,BLANK.13,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.14.RY,1505459,1505790,0.999780181831464,NA,Romay_etal_2013,BLANK.14,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.15.RY,1505786,1505790,0.999997343587087,NA,Romay_etal_2013,BLANK.15,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.16.RY,1505761,1505790,0.999980741006382,NA,Romay_etal_2013,BLANK.16,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.17.RY,1505785,1505790,0.999996679483859,NA,Romay_etal_2013,BLANK.17,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.18.RY,1505770,1505790,0.999986717935436,NA,Romay_etal_2013,BLANK.18,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.19.RY,1505789,1505790,0.999999335896772,NA,Romay_etal_2013,BLANK.19,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.2.RY,1505694,1505790,0.999936246090092,NA,Romay_etal_2013,BLANK.2,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.20.RY,1505780,1505790,0.999993358967718,NA,Romay_etal_2013,BLANK.20,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.21.RY,1505756,1505790,0.999977420490241,NA,Romay_etal_2013,BLANK.21,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.22.RY,1505302,1505790,0.999675917624636,NA,Romay_etal_2013,BLANK.22,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.23.RY,1505778,1505790,0.999992030761262,NA,Romay_etal_2013,BLANK.23,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.24.RY,1505747,1505790,0.999971443561187,NA,Romay_etal_2013,BLANK.24,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.25.RY,1505773,1505790,0.99998871024512,NA,Romay_etal_2013,BLANK.25,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.26.RY,1504913,1505790,0.999417581468864,NA,Romay_etal_2013,BLANK.26,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.27.RY,1505786,1505790,0.999997343587087,NA,Romay_etal_2013,BLANK.27,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.28.RY,1505774,1505790,0.999989374348349,NA,Romay_etal_2013,BLANK.28,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.29.RY,1505752,1505790,0.999974764077328,NA,Romay_etal_2013,BLANK.29,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.3.RY,1505780,1505790,0.999993358967718,NA,Romay_etal_2013,BLANK.3,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.30.RY,1505777,1505790,0.999991366658033,NA,Romay_etal_2013,BLANK.30,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.31.RY,1505766,1505790,0.999984061522523,NA,Romay_etal_2013,BLANK.31,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.32.RY,1505789,1505790,0.999999335896772,NA,Romay_etal_2013,BLANK.32,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.33.RY,1505758,1505790,0.999978748696697,NA,Romay_etal_2013,BLANK.33,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.34.RY,1505783,1505790,0.999995351277403,NA,Romay_etal_2013,BLANK.34,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.35.RY,1505787,1505790,0.999998007690315,NA,Romay_etal_2013,BLANK.35,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.36.RY,1505765,1505790,0.999983397419295,NA,Romay_etal_2013,BLANK.36,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.37.RY,1505593,1505790,0.999869171664043,NA,Romay_etal_2013,BLANK.37,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.38.RY,1505785,1505790,0.999996679483859,NA,Romay_etal_2013,BLANK.38,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.39.RY,1505735,1505790,0.999963474322449,NA,Romay_etal_2013,BLANK.39,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.4.RY,1505689,1505790,0.999932925573951,NA,Romay_etal_2013,BLANK.4,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.40.RY,1505765,1505790,0.999983397419295,NA,Romay_etal_2013,BLANK.40,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.41.RY,1505772,1505790,0.999988046141892,NA,Romay_etal_2013,BLANK.41,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.42.RY,1505777,1505790,0.999991366658033,NA,Romay_etal_2013,BLANK.42,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.43.RY,1505790,1505790,1,NA,Romay_etal_2013,BLANK.43,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.44.RY,1505790,1505790,1,NA,Romay_etal_2013,BLANK.44,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.45.RY,1505790,1505790,1,NA,Romay_etal_2013,BLANK.45,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.46.RY,1505739,1505790,0.999966130735362,NA,Romay_etal_2013,BLANK.46,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.47.RY,1505729,1505790,0.999959489703079,NA,Romay_etal_2013,BLANK.47,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.48.RY,1505782,1505790,0.999994687174174,NA,Romay_etal_2013,BLANK.48,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.49.RY,1505742,1505790,0.999968123045046,NA,Romay_etal_2013,BLANK.49,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.5.RY,1505786,1505790,0.999997343587087,NA,Romay_etal_2013,BLANK.5,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.50.RY,1505747,1505790,0.999971443561187,NA,Romay_etal_2013,BLANK.50,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.51.RY,1505696,1505790,0.999937574296549,NA,Romay_etal_2013,BLANK.51,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.52.RY,1505718,1505790,0.999952184567569,NA,Romay_etal_2013,BLANK.52,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.53.RY,1505067,1505790,0.999519853366007,NA,Romay_etal_2013,BLANK.53,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.54.RY,1505671,1505790,0.999920971715843,NA,Romay_etal_2013,BLANK.54,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.55.RY,1505589,1505790,0.999866515251131,NA,Romay_etal_2013,BLANK.55,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.56.RY,1505726,1505790,0.999957497393395,NA,Romay_etal_2013,BLANK.56,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.57.RY,1505657,1505790,0.999911674270649,NA,Romay_etal_2013,BLANK.57,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.58.RY,1505785,1505790,0.999996679483859,NA,Romay_etal_2013,BLANK.58,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.59.RY,1505786,1505790,0.999997343587087,NA,Romay_etal_2013,BLANK.59,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.6.RY,1505637,1505790,0.999898392206085,NA,Romay_etal_2013,BLANK.6,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.60.RY,1505361,1505790,0.9997150997151,NA,Romay_etal_2013,BLANK.60,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.61.RY,1505564,1505790,0.999849912670425,NA,Romay_etal_2013,BLANK.61,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.62.RY,1505688,1505790,0.999932261470723,NA,Romay_etal_2013,BLANK.62,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.63.RY,1505736,1505790,0.999964138425677,NA,Romay_etal_2013,BLANK.63,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.64.RY,1505790,1505790,1,NA,Romay_etal_2013,BLANK.64,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.65.RY,1505789,1505790,0.999999335896772,NA,Romay_etal_2013,BLANK.65,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.7.RY,1505790,1505790,1,NA,Romay_etal_2013,BLANK.7,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.8.RY,1505788,1505790,0.999998671793544,NA,Romay_etal_2013,BLANK.8,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.9.RY,1505790,1505790,1,NA,Romay_etal_2013,BLANK.9,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,CML342(Krakowsky).1.RY,1505744,1505790,0.999969451251502,NA,Romay_etal_2013,CML342(Krakowsky).1,NA,Inbred,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,EA2000.1.RY,1504037,1505790,0.998835827040955,NA,Romay_etal_2013,EA2000.1,NA,Inbred,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,EP46.1.RY,1504706,1505790,0.999280112100625,NA,Romay_etal_2013,EP46.1,NA,Inbred,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,GEMN-0171.1.RY,1505785,1505790,0.999996679483859,NA,Romay_etal_2013,GEMN-0171.1,NA,Inbred,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,GEMN-0204.1.RY,1505784,1505790,0.999996015380631,NA,Romay_etal_2013,GEMN-0204.1,NA,Inbred,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,GEMS-0218.1.RY,1505785,1505790,0.999996679483859,NA,Romay_etal_2013,GEMS-0218.1,NA,Inbred,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,PI340837.1.RY,1505692,1505790,0.999934917883636,NA,Romay_etal_2013,PI340837.1,NA,Inbred,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,PI601457.2.RY,1505762,1505790,0.99998140510961,NA,Romay_etal_2013,PI601457.2,NA,Inbred,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,PI601498.2.RY,1505753,1505790,0.999975428180556,NA,Romay_etal_2013,PI601498.2,NA,Inbred,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,PI613179.2.RY,1505739,1505790,0.999966130735362,NA,Romay_etal_2013,PI613179.2,NA,Inbred,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,SC375.1.RY,1504430,1505790,0.99909681960964,NA,Romay_etal_2013,SC375.1,NA,Inbred,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,tripsacum.1.RY,1503446,1505790,0.998443342033086,NA,Romay_etal_2013,tripsacum.1,NA,Inbred,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,tripsacum.2.RY,1502083,1505790,0.997538169333041,NA,Romay_etal_2013,tripsacum.2,NA,Inbred,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.1.DC1,1505667,1505790,0.999918315302931,NA,Dawe_Lab_1,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA
