Simp_Name,Name,Missing,Total,Perc_Missing,Extra_Name,OG_Name,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP
NA,BLANK.3.SW,1503089,1505790,0.998206257180616,NA,NA,Swarts_etal_2017,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.4.SW,1505547,1505790,0.999838622915546,NA,NA,Swarts_etal_2017,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.5.SW,1505786,1505790,0.999997343587087,NA,NA,Swarts_etal_2017,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.6.SW,1505714,1505790,0.999949528154656,NA,NA,Swarts_etal_2017,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.7.SW,1505683,1505790,0.999928940954582,NA,NA,Swarts_etal_2017,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.8.SW,1505728,1505790,0.999958825599851,NA,NA,Swarts_etal_2017,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.9.SW,1505767,1505790,0.999984725625751,NA,NA,Swarts_etal_2017,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA
NA,CIM29379_03.SW,1505790,1505790,1,NA,NA,Swarts_etal_2017,CIM29379_03.SW,NA,Teosinte - Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,JSG_Y_LOS-75_03.SW,1501762,1505790,0.997324992196787,NA,NA,Swarts_etal_2017,JSG_Y_LOS-75,Mexicana − C. Plateau,Teosinte - Mexicana,Unknown,Unknown,20.11388889,-102.8958333,1700,NA,NA,NA,NA
NA,JSG-JMHC-629_01.SW,1504982,1505790,0.99946340459161,NA,NA,Swarts_etal_2017,JSG-JMHC-629,Mexicana − Chalco,Teosinte - Mexicana,Unknown,Unknown,19.07361111,-97.43055556,2670,NA,NA,NA,NA
NA,Ames23482.1.RY,1502706,1505790,0.997951905644213,NA,NA,Romay_etal_2013,Ames23482.1,NA,Inbred,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,Ames28291.11.RY,1505750,1505790,0.999973435870872,NA,NA,Romay_etal_2013,Ames28291.11,NA,Inbred,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,Ames30794.1.RY,1502349,1505790,0.997714820791744,NA,NA,Romay_etal_2013,Ames30794.1,NA,Inbred,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.1.RY,1505790,1505790,1,NA,NA,Romay_etal_2013,BLANK.1,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.10.RY,1505505,1505790,0.999810730579961,NA,NA,Romay_etal_2013,BLANK.10,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.11.RY,1505783,1505790,0.999995351277403,NA,NA,Romay_etal_2013,BLANK.11,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.12.RY,1505521,1505790,0.999821356231613,NA,NA,Romay_etal_2013,BLANK.12,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.13.RY,1505786,1505790,0.999997343587087,NA,NA,Romay_etal_2013,BLANK.13,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.14.RY,1505490,1505790,0.999800769031538,NA,NA,Romay_etal_2013,BLANK.14,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.15.RY,1505788,1505790,0.999998671793544,NA,NA,Romay_etal_2013,BLANK.15,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.16.RY,1505759,1505790,0.999979412799926,NA,NA,Romay_etal_2013,BLANK.16,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.17.RY,1505784,1505790,0.999996015380631,NA,NA,Romay_etal_2013,BLANK.17,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.18.RY,1505775,1505790,0.999990038451577,NA,NA,Romay_etal_2013,BLANK.18,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.19.RY,1505788,1505790,0.999998671793544,NA,NA,Romay_etal_2013,BLANK.19,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.2.RY,1505696,1505790,0.999937574296549,NA,NA,Romay_etal_2013,BLANK.2,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.20.RY,1505773,1505790,0.99998871024512,NA,NA,Romay_etal_2013,BLANK.20,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.21.RY,1505758,1505790,0.999978748696697,NA,NA,Romay_etal_2013,BLANK.21,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.22.RY,1505303,1505790,0.999676581727864,NA,NA,Romay_etal_2013,BLANK.22,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.23.RY,1505773,1505790,0.99998871024512,NA,NA,Romay_etal_2013,BLANK.23,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.24.RY,1505755,1505790,0.999976756387013,NA,NA,Romay_etal_2013,BLANK.24,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.25.RY,1505771,1505790,0.999987382038664,NA,NA,Romay_etal_2013,BLANK.25,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.26.RY,1504992,1505790,0.999470045623892,NA,NA,Romay_etal_2013,BLANK.26,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.27.RY,1505784,1505790,0.999996015380631,NA,NA,Romay_etal_2013,BLANK.27,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.28.RY,1505778,1505790,0.999992030761262,NA,NA,Romay_etal_2013,BLANK.28,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.29.RY,1505748,1505790,0.999972107664415,NA,NA,Romay_etal_2013,BLANK.29,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.3.RY,1505780,1505790,0.999993358967718,NA,NA,Romay_etal_2013,BLANK.3,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.30.RY,1505775,1505790,0.999990038451577,NA,NA,Romay_etal_2013,BLANK.30,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.31.RY,1505769,1505790,0.999986053832208,NA,NA,Romay_etal_2013,BLANK.31,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.32.RY,1505788,1505790,0.999998671793544,NA,NA,Romay_etal_2013,BLANK.32,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.33.RY,1505754,1505790,0.999976092283785,NA,NA,Romay_etal_2013,BLANK.33,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.34.RY,1505786,1505790,0.999997343587087,NA,NA,Romay_etal_2013,BLANK.34,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.35.RY,1505787,1505790,0.999998007690315,NA,NA,Romay_etal_2013,BLANK.35,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.36.RY,1505756,1505790,0.999977420490241,NA,NA,Romay_etal_2013,BLANK.36,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.37.RY,1505585,1505790,0.999863858838218,NA,NA,Romay_etal_2013,BLANK.37,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.38.RY,1505789,1505790,0.999999335896772,NA,NA,Romay_etal_2013,BLANK.38,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.39.RY,1505737,1505790,0.999964802528905,NA,NA,Romay_etal_2013,BLANK.39,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.4.RY,1505702,1505790,0.999941558915918,NA,NA,Romay_etal_2013,BLANK.4,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.40.RY,1505771,1505790,0.999987382038664,NA,NA,Romay_etal_2013,BLANK.40,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.41.RY,1505783,1505790,0.999995351277403,NA,NA,Romay_etal_2013,BLANK.41,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.42.RY,1505784,1505790,0.999996015380631,NA,NA,Romay_etal_2013,BLANK.42,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
