Name,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP,KMeans_Ab10,RF_Ab10Type,KMeans_K10L2,KMeans_BChrom,Model,Mean,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
SEEDGWAS2491.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-010620,NA,Landrace,Unknown,Unknown,20.81666667,-102.7333333,1820,NA,NA,NA,NA,N10,NA,N10,Yes,Low,0.0313443190852016,0.0101739,-0.00227985,-0.00638561,0.0103785,0.00934889,-0.00558881,0.013924,0.0104216,-0.00595182,-0.00855924
SEEDGWAS2492.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-010957,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0252119697603655,0.0112321,-0.00657208,-0.00551545,0.0165216,0.00919605,-0.00928274,0.0145383,0.00881299,-0.00959306,-0.0186273
SEEDGWAS2493.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-010874,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.062899900086074,-0.0074296,-0.0101177,0.00724038,-0.0125703,0.00373967,0.0449117,0.012677,0.0528953,-0.00590254,0.0256397
SEEDGWAS2494.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-010876,NA,Landrace,Unknown,Unknown,-30.79075,-57.757907,63,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0105981443658411,-0.00899499,-0.00732652,0.0067238,-0.00558574,0.00128004,0.0257539,-0.00514991,0.0276075,0.000854286,-0.00495942
SEEDGWAS2495.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-017457,NA,Landrace,Unknown,Unknown,17.253353,-96.021444,1651,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00810790686558905,-0.00107235,0.00643397,-0.00395923,0.00700657,0.00677328,0.00215658,-0.0137533,0.00130922,0.00389991,-0.0262702
SEEDGWAS2496.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-017458,NA,Landrace,Unknown,Unknown,17.253353,-96.021444,1651,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00783350801021858,-0.000415173,0.00652108,-0.00438569,0.00740789,0.00778119,-0.000939836,-0.0113076,0.000288024,0.00319873,-0.0227487
SEEDGWAS2497.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-010782,NA,Landrace,Unknown,Unknown,20.699376,-100.761898,1795,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,0.00966854858235047,0.0176379,0.0122749,0.00172982,-0.00601993,-0.000498003,0.00159731,0.00256273,0.00283453,-0.0122922,0.00879777
SEEDGWAS2498.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-011220,NA,Landrace,Unknown,Unknown,19.966667,-103.25,2127,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00903306215871346,0.0198056,0.0125067,0.00579309,-0.000704469,-0.00619185,-0.0036969,-0.00824901,-0.00112949,0.00605223,-0.0107695
SEEDGWAS2499.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-011314,NA,Landrace,Unknown,Unknown,20.63333333,-101.6666667,1722,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00932185065238731,-0.00238018,0.0030654,-0.00891232,0.00329317,0.00577093,-0.00252687,0.000207603,0.00338797,-0.00367731,0.00143346
SEEDGWAS25.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000490,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0113206694329013,-0.0134804,0.00496786,-0.0122498,0.000100339,-0.00358222,-0.0102916,-0.0188924,0.000579089,0.0124861,0.0186766
SEEDGWAS250.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-004792,NA,Landrace,Unknown,Unknown,-20.66666667,-50.03333333,477,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0100160909184982,-0.0167056,0.000594052,0.0445604,0.0051079,-0.013109,-0.0294244,0.00529439,0.0129384,-0.0193827,0.00119549
SEEDGWAS2501.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-011247,NA,Landrace,Unknown,Unknown,21.942148,-102.194513,1992,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00940167653056494,-0.0073363,-0.00025491,-0.00419187,-0.00460626,-0.0101585,-0.00462002,0.000687852,-0.00160281,0.010398,-0.0138853
SEEDGWAS2502.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-011645,NA,Landrace,Unknown,Unknown,20.784944,-98.734909,1520,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.011003387830729,-0.0112185,0.00573986,-0.00877521,-8.93816e-05,-0.00367046,-0.0105066,-0.0201389,-0.000530346,0.010775,-0.000552807
SEEDGWAS2504.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-011707,NA,Landrace,Unknown,Unknown,19.03333333,-100.0333333,1956,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.011462559399464,0.011936,0.00522691,-0.00129243,0.00628842,0.00275842,-0.00643735,0.000684914,0.00116505,-0.00174148,-0.0267038
SEEDGWAS2507.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-011765,NA,Landrace,Unknown,Unknown,17.253353,-96.021444,1651,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00886381050960064,-0.000799126,0.00751132,-0.00420635,0.00346627,0.00804583,-0.0011216,-0.00793568,0.0035966,-0.00141871,-0.0162651
SEEDGWAS2508.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-011771,NA,Landrace,Unknown,Unknown,17.26968,-97.692737,2096,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.0544094861587074,0.0153125,0.0121787,0.00348158,0.0034732,0.000177649,-0.00523287,-0.00340063,-0.00252904,0.0148577,-0.0196811
