Name,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP,KMeans_Ab10,RF_Ab10Type,KMeans_K10L2,KMeans_BChrom,Model,Mean,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
SEEDGWAS5203.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-002023,NA,Landrace,Unknown,Unknown,18.830607,-99.24911,1270,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00913741924087731,4.90866739996299,0.878771333771081,8.97425922646321,9.27752559415908,12.1005919290524,7.61921960551409,-3.59636476064704,-0.530257176529158,2.83003582682219,-6.46525874610878
SEEDGWAS5204.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-002024,NA,Landrace,Unknown,Unknown,18.830607,-99.24911,1270,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0102075343785775,2.44881250577349,3.82791376744958,9.55941885647658,8.75334996400578,12.6232483843649,7.89225191280607,-2.877084009621,-0.0919313326875672,0.607471342449871,-5.61266311507843
SEEDGWAS5205.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-002044,NA,Landrace,Unknown,Unknown,18.68,-99.3,968,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00955793200403693,0.696441213967537,4.30309137181906,8.31262665944783,10.1878722784995,10.7264976520984,8.20635654493118,-1.49351981288522,-0.0225229681087058,1.56513508131836,-5.18583416115995
SEEDGWAS5206.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-002070,NA,Landrace,Unknown,Unknown,19.73333333,-99.58333333,2776,NA,NA,NA,NA,N10,NA,N10,Yes,Low,0.0422936947789851,0.312486245439788,2.55575991045245,9.62199403938225,8.47769130353954,10.3614585809044,10.7375835423601,-1.75410931824034,-0.795069041782509,0.403406409612522,-4.80372737275849
SEEDGWAS5207.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-002096,NA,Landrace,Unknown,Unknown,19.98333333,-102.3,1565,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0100570791872711,15.9604106084536,5.37616812051758,12.5392951426037,5.17253631473594,10.1578443793342,7.63153458067536,-7.00529794655752,-0.561513360105307,-5.02185295010935,-5.03230347095085
SEEDGWAS5208.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-002123,NA,Landrace,Unknown,Unknown,25.45,-100.833333,1700,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0097964234735675,-29.7084034351366,-0.959174078088258,-1.89729593890313,12.6897631730058,-8.22562356157225,-3.00502758725467,-8.32931867599288,-2.05002859891852,11.4096194273379,0.163531844569392
SEEDGWAS5209.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-002141,NA,Landrace,Unknown,Unknown,16.55,-92.466667,1785,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0102977237001395,-12.1679025883713,5.55185274696423,0.436276666052987,11.5532272613051,8.45407998108107,4.06273327209474,2.87268360741018,0.921511033546164,4.04210073054585,-2.14212405772528
SEEDGWAS521.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-023564,NA,Landrace,Unknown,Unknown,-26.87,-60.45,92,NA,NA,NA,NA,Ab10,Ambiguous,NA,No,Neither,0.0122024410271729,-37.8887163545948,-4.791078327038,-8.01722459091881,6.04720971716838,-10.587793451104,-6.42615557449202,4.6803932824558,-3.4555755287228,-18.582461266637,2.27227341496043
SEEDGWAS5210.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-002176,NA,Landrace,Unknown,Unknown,26.93333333,-105.4166667,1613,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0100853289038407,-18.4693426386974,4.53374904662788,2.07833938664465,7.526869097991,0.799295757359985,-1.03903295959058,-4.80921498588898,0.240679426277049,5.41678082441099,-0.583789030004225
SEEDGWAS5214.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-003488,NA,Landrace,Unknown,Unknown,8.754457,-82.903449,1099,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00858199566079798,-35.2691226902202,-7.40194324054387,-5.83782314254851,-39.3748955036443,3.89660119942422,-0.802460553972384,-18.3175281352782,-3.57363628732102,3.27162017549817,0.169619278791613
SEEDGWAS5215.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-003842,NA,Landrace,Unknown,Unknown,8.295226,-81.701842,469,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00873445235018586,-33.3600398536961,-2.99201891537811,-3.15459873880942,4.55625597577171,-3.35525674688631,-3.59307292962381,9.43772786233656,-0.845723350319461,-17.2852644917467,3.82605319449691
SEEDGWAS5216.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-003854,NA,Landrace,Unknown,Unknown,8.258527,-81.980232,20,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0104532348403788,-29.3098825967045,-0.842216009977101,-3.93666586087044,4.97846717997983,3.35004117008712,4.73287420477014,20.4697015924354,8.03197342772985,-8.79178311596913,2.06126273289121
SEEDGWAS5219.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-005189,NA,Landrace,Unknown,Unknown,14.559174,-89.939202,1170,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0100415948819709,-26.8265732562645,1.68788855317024,-3.53692700471285,13.0338138602058,5.30596747038018,4.71403758421906,11.9490180666207,4.24883494582277,0.450329070622261,1.31366781473028
SEEDGWAS522.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-023573,NA,Landrace,Unknown,Unknown,-25,-60,112,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00997066002339808,-33.8558976982142,-8.80910400716154,-10.9570343569122,-43.479271017325,16.8979761481422,9.29959067480748,14.5743174119335,6.23949623519414,-1.01109197060962,2.68226105564482
