Name,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP,KMeans_Ab10,RF_Ab10Type,KMeans_K10L2,KMeans_BChrom,Model,Mean,Ab10_Pseudo_Copy_Number,K10L2_Pseudo_Copy_Number,BChrom_Pseudo_Copy_Number
12S025901.SW,Swarts_etal_2017,PI_218167:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.011167972,NA,NA,NA
12S026301.SW,Swarts_etal_2017,PI_218168:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.011942945,NA,NA,NA
12S026401.SW,Swarts_etal_2017,PI_218168:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.136655634,NA,NA,0.136655634
12S026701.SW,Swarts_etal_2017,PI_218168:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA,Ab10,Ab10-I,NA,Yes,Low,0.041498475,0.042360573,NA,0.041498475
12S027001.SW,Swarts_etal_2017,PI_218168:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.061961587,NA,NA,0.061961587
12S027201.SW,Swarts_etal_2017,PI_218168:Acoma,US - Puebloan (East),Landrace,Unknown,Unknown,34.8964,-107.5817,2002,NA,NA,NA,NA,Ab10,Ambiguous,NA,Yes,High,0.084595577,0.021493106,NA,0.084595577
12S027901.SW,Swarts_etal_2017,PI_218169:Laguna,US - Puebloan (East),Landrace,Unknown,Unknown,35.0215,-107.1503,1770,NA,NA,NA,NA,N10,NA,N10,Yes,Low,0.03757028,NA,NA,0.03757028
12S028501.SW,Swarts_etal_2017,PI_218169:Laguna,US - Puebloan (East),Landrace,Unknown,Unknown,35.0215,-107.1503,1770,NA,NA,NA,NA,N10,NA,N10,Yes,Low,0.035641437,NA,NA,0.035641437
12S028601.SW,Swarts_etal_2017,PI_218169:Laguna,US - Puebloan (East),Landrace,Unknown,Unknown,35.0215,-107.1503,1770,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.010753224,NA,NA,NA
12S028801.SW,Swarts_etal_2017,PI_218169:Laguna,US - Puebloan (East),Landrace,Unknown,Unknown,35.0215,-107.1503,1770,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.011016405,NA,NA,NA
12S029001.SW,Swarts_etal_2017,PI_218169:Laguna,US - Puebloan (East),Landrace,Unknown,Unknown,35.0215,-107.1503,1770,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.01218142,NA,NA,NA
12S029101.SW,Swarts_etal_2017,PI_218175:Hopi_Moencopi,US - Puebloan (West),Landrace,Unknown,Unknown,36.11174,-111.2207,1456,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.088869945,NA,NA,0.088869945
12S029201.SW,Swarts_etal_2017,PI_218175:Hopi_Moencopi,US - Puebloan (West),Landrace,Unknown,Unknown,36.11174,-111.2207,1456,NA,NA,NA,NA,N10,NA,N10,Yes,Low,0.032714751,NA,NA,0.032714751
12S029501.SW,Swarts_etal_2017,PI_218175:Hopi_Moencopi,US - Puebloan (West),Landrace,Unknown,Unknown,36.11174,-111.2207,1456,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.011758305,NA,NA,NA
12S029701.SW,Swarts_etal_2017,PI_218175:Hopi_Moencopi,US - Puebloan (West),Landrace,Unknown,Unknown,36.11174,-111.2207,1456,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.01192582,NA,NA,NA
12S029801.SW,Swarts_etal_2017,PI_218175:Hopi_Moencopi,US - Puebloan (West),Landrace,Unknown,Unknown,36.11174,-111.2207,1456,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.085510403,NA,NA,0.085510403
12S030601.SW,Swarts_etal_2017,PI_218181:Papago,US - Desert SW,Landrace,Unknown,Unknown,32.2217,-110.9264,701,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.012397902,NA,NA,NA
12S030701.SW,Swarts_etal_2017,PI_218181:Papago,US - Desert SW,Landrace,Unknown,Unknown,32.2217,-110.9264,701,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.010496864,NA,NA,NA
12S031101.SW,Swarts_etal_2017,PI_218181:Papago,US - Desert SW,Landrace,Unknown,Unknown,32.2217,-110.9264,701,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.014602073,NA,NA,NA
