Name,Mean,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP,KMeans_Ab10,RF_Ab10Type,KMeans_K10L2,KMeans_BChrom,Model,Copy,CDH
SEEDGWAS3936.RN,0.072936542,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007299,NA,Landrace,Unknown,Unknown,28.975149,-109.395459,454,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
SEEDGWAS3938.RN,0.03755837,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007307,NA,Landrace,Unknown,Unknown,28.980828,-109.206195,459,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3939.RN,0.054573765,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007309,NA,Landrace,Unknown,Unknown,28.93333333,-109.1833333,488,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
SEEDGWAS3961.RN,0.107150947,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007987,NA,Landrace,Unknown,Unknown,20.31666667,-105.3333333,655,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
SEEDGWAS3964.RN,0.054996389,Romero-Navarro_etal_2017,CIMMYTMA-BANK-009239,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
SEEDGWAS3972.RN,0.032348825,Romero-Navarro_etal_2017,CIMMYTMA-BANK-011578,NA,Landrace,Unknown,Unknown,22.513281,-104.499597,570,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3983.RN,0.047415826,Romero-Navarro_etal_2017,CIMMYTMA-BANK-012995,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
SEEDGWAS3988.RN,0.031714252,Romero-Navarro_etal_2017,CIMMYTMA-BANK-013478,NA,Landrace,Unknown,Unknown,-25.721253,-59.133231,85,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3993.RN,0.030297822,Romero-Navarro_etal_2017,CIMMYTMA-BANK-015084,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS3997.RN,0.039509042,Romero-Navarro_etal_2017,CIMMYTMA-BANK-015671,NA,Landrace,Unknown,Unknown,24.08333333,-99.1,192,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
