"","Name","Data_Source","Accession","Group","Maize_Type","Ab10_Status","B_Chrom_Status","Latitude","Longitude","Altitude","DTA_BLUP","DTS_BLUP","PH_BLUP","PresTiller_BLUP","KMeans_Chr10Class","RF_Ab10Class"
"61","12S014801.SW","Swarts_etal_2017","PI_218136:Tesuque","US - Puebloan (East)","Landrace","Unknown","Unknown",35.746069,-105.922108,2060,NA,NA,NA,NA,"N10",NA
"62","12S015401.SW","Swarts_etal_2017","PI_218136:Tesuque","US - Puebloan (East)","Landrace","Unknown","Unknown",35.746069,-105.922108,2060,NA,NA,NA,NA,"N10",NA
"63","12S015501.SW","Swarts_etal_2017","PI_218136:Tesuque","US - Puebloan (East)","Landrace","Unknown","Unknown",35.746069,-105.922108,2060,NA,NA,NA,NA,"N10",NA
"64","12S016001.SW","Swarts_etal_2017","PI_218136:Tesuque","US - Puebloan (East)","Landrace","Unknown","Unknown",35.746069,-105.922108,2060,NA,NA,NA,NA,"N10",NA
"65","12S016201.SW","Swarts_etal_2017","PI_218149:Taos","US - Puebloan (East)","Landrace","Unknown","Unknown",36.45,-105.55,2134,NA,NA,NA,NA,"N10",NA
"66","12S016301.SW","Swarts_etal_2017","PI_218149:Taos","US - Puebloan (East)","Landrace","Unknown","Unknown",36.45,-105.55,2134,NA,NA,NA,NA,"N10",NA
"67","12S016601.SW","Swarts_etal_2017","PI_218149:Taos","US - Puebloan (East)","Landrace","Unknown","Unknown",36.45,-105.55,2134,NA,NA,NA,NA,"N10",NA
"68","12S017001.SW","Swarts_etal_2017","PI_218149:Taos","US - Puebloan (East)","Landrace","Unknown","Unknown",36.45,-105.55,2134,NA,NA,NA,NA,"N10",NA
"69","12S017301.SW","Swarts_etal_2017","PI_218149:Taos","US - Puebloan (East)","Landrace","Unknown","Unknown",36.45,-105.55,2134,NA,NA,NA,NA,"N10",NA
"70","12S017601.SW","Swarts_etal_2017","PI_218154:San_Felipe","US - Puebloan (East)","Landrace","Unknown","Unknown",35.2537,-106.2637,1564,NA,NA,NA,NA,"N10",NA
"71","12S018001.SW","Swarts_etal_2017","PI_218154:San_Felipe","US - Puebloan (East)","Landrace","Unknown","Unknown",35.2537,-106.2637,1564,NA,NA,NA,NA,"N10",NA
"72","12S018201.SW","Swarts_etal_2017","PI_218154:San_Felipe","US - Puebloan (East)","Landrace","Unknown","Unknown",35.2537,-106.2637,1564,NA,NA,NA,NA,"N10",NA
"73","12S018401.SW","Swarts_etal_2017","PI_218154:San_Felipe","US - Puebloan (East)","Landrace","Unknown","Unknown",35.2537,-106.2637,1564,NA,NA,NA,NA,"N10",NA
"74","12S018701.SW","Swarts_etal_2017","PI_218154:San_Felipe","US - Puebloan (East)","Landrace","Unknown","Unknown",35.2537,-106.2637,1564,NA,NA,NA,NA,"N10",NA
"75","12S019401.SW","Swarts_etal_2017","PI_218156:Santo_Domingo","US - Puebloan (East)","Landrace","Unknown","Unknown",35.3052,-106.2148,1581,NA,NA,NA,NA,"Ab10","Ab10-I"
