Name,Prop,Model,KMeans_BChrom
SEEDGWAS1124.RN,1,Low,Yes
SEEDGWAS1165.RN,1,Low,Yes
SEEDGWAS1195.RN,1,Low,Yes
SEEDGWAS1202.RN,1,Low,Yes
SEEDGWAS1210.RN,1,Low,Yes
SEEDGWAS1234.RN,1,Low,Yes
SEEDGWAS1254.RN,1,Low,Yes
SEEDGWAS1293.RN,1,Low,Yes
SEEDGWAS1295.RN,1,Low,Yes
SEEDGWAS1299.RN,1,Low,Yes
SEEDGWAS1317.RN,1,Low,Yes
SEEDGWAS1340.RN,1,Low,Yes
SEEDGWAS1429.RN,1,Low,Yes
SEEDGWAS143.RN,1,Low,Yes
SEEDGWAS1432.RN,1,Low,Yes
SEEDGWAS1438.RN,1,Low,Yes
SEEDGWAS1487.RN,1,Low,Yes
SEEDGWAS150.RN,1,Low,Yes
SEEDGWAS1522.RN,1,Low,Yes
SEEDGWAS1554.RN,1,Low,Yes
SEEDGWAS1556.RN,1,Low,Yes
SEEDGWAS1564.RN,1,Low,Yes
SEEDGWAS1566.RN,1,Low,Yes
SEEDGWAS1589.RN,1,Low,Yes
SEEDGWAS1721.RN,1,Low,Yes
SEEDGWAS1736.RN,1,Low,Yes
SEEDGWAS1737.RN,1,Low,Yes
SEEDGWAS1759.RN,1,Low,Yes
SEEDGWAS178.RN,1,Low,Yes
SEEDGWAS1788.RN,1,Low,Yes
SEEDGWAS1844.RN,1,Low,Yes
SEEDGWAS1849.RN,1,Low,Yes
SEEDGWAS2089.RN,1,Low,Yes
SEEDGWAS2092.RN,1,Low,Yes
SEEDGWAS2108.RN,1,Low,Yes
SEEDGWAS2156.RN,1,Low,Yes
SEEDGWAS2157.RN,1,Low,Yes
SEEDGWAS2177.RN,1,Low,Yes
SEEDGWAS2210.RN,1,Low,Yes
SEEDGWAS225.RN,1,Low,Yes
SEEDGWAS2250.RN,1,Low,Yes
SEEDGWAS2261.RN,1,Low,Yes
SEEDGWAS2263.RN,1,Low,Yes
SEEDGWAS2264.RN,1,Low,Yes
SEEDGWAS2271.RN,1,Low,Yes
SEEDGWAS2303.RN,1,Low,Yes
SEEDGWAS2312.RN,1,Low,Yes
SEEDGWAS232.RN,1,Low,Yes
SEEDGWAS2320.RN,1,Low,Yes
SEEDGWAS2324.RN,1,Low,Yes
SEEDGWAS2326.RN,1,Low,Yes
SEEDGWAS2328.RN,1,Low,Yes
SEEDGWAS2335.RN,1,Low,Yes
SEEDGWAS2385.RN,1,Low,Yes
SEEDGWAS2393.RN,1,Low,Yes
SEEDGWAS2453.RN,1,Low,Yes
SEEDGWAS2468.RN,1,Low,Yes
SEEDGWAS2470.RN,1,Low,Yes
SEEDGWAS2491.RN,1,Low,Yes
SEEDGWAS2546.RN,1,Low,Yes
SEEDGWAS2598.RN,1,Low,Yes
SEEDGWAS2621.RN,1,Low,Yes
SEEDGWAS2633.RN,1,Low,Yes
SEEDGWAS2711.RN,1,Low,Yes
SEEDGWAS2723.RN,1,Low,Yes
SEEDGWAS2751.RN,1,Low,Yes
SEEDGWAS2754.RN,1,Low,Yes
SEEDGWAS2797.RN,1,Low,Yes
SEEDGWAS2844.RN,1,Low,Yes
SEEDGWAS2886.RN,1,Low,Yes
SEEDGWAS2897.RN,1,Low,Yes
SEEDGWAS2900.RN,1,Low,Yes
SEEDGWAS2901.RN,1,Low,Yes
SEEDGWAS2919.RN,1,Low,Yes
SEEDGWAS2920.RN,1,Low,Yes
SEEDGWAS2922.RN,1,Low,Yes
SEEDGWAS2949.RN,1,Low,Yes
SEEDGWAS2955.RN,1,Low,Yes
SEEDGWAS3044.RN,1,Low,Yes
SEEDGWAS3049.RN,1,Low,Yes
SEEDGWAS3051.RN,1,Low,Yes
SEEDGWAS3052.RN,1,Low,Yes
SEEDGWAS3070.RN,1,Low,Yes
SEEDGWAS3074.RN,1,Low,Yes
SEEDGWAS3078.RN,1,Low,Yes
SEEDGWAS3093.RN,1,Low,Yes
SEEDGWAS3112.RN,1,Low,Yes
SEEDGWAS3123.RN,1,Low,Yes
SEEDGWAS3155.RN,1,Low,Yes
SEEDGWAS3173.RN,1,Low,Yes
SEEDGWAS3199.RN,1,Low,Yes
SEEDGWAS3231.RN,1,Low,Yes
SEEDGWAS3332.RN,1,Low,Yes
SEEDGWAS3346.RN,1,Low,Yes
SEEDGWAS3347.RN,1,Low,Yes
SEEDGWAS3384.RN,1,Low,Yes
SEEDGWAS3399.RN,1,Low,Yes
SEEDGWAS3407.RN,1,Low,Yes
SEEDGWAS3416.RN,1,Low,Yes
SEEDGWAS3437.RN,1,Low,Yes
SEEDGWAS3438.RN,1,Low,Yes
SEEDGWAS3457.RN,1,Low,Yes
SEEDGWAS3465.RN,1,Low,Yes
SEEDGWAS3469.RN,1,Low,Yes
SEEDGWAS3470.RN,1,Low,Yes
SEEDGWAS3472.RN,1,Low,Yes
SEEDGWAS3477.RN,1,Low,Yes
SEEDGWAS3489.RN,1,Low,Yes
SEEDGWAS3490.RN,1,Low,Yes
SEEDGWAS3495.RN,1,Low,Yes
SEEDGWAS3503.RN,0.992,Low,Yes
SEEDGWAS3526.RN,1,Low,Yes
SEEDGWAS3562.RN,1,Low,Yes
SEEDGWAS3571.RN,1,Low,Yes
SEEDGWAS3579.RN,1,Low,Yes
SEEDGWAS3586.RN,1,Low,Yes
SEEDGWAS3591.RN,1,Low,Yes
SEEDGWAS3609.RN,1,Low,Yes
SEEDGWAS3618.RN,1,Low,Yes
SEEDGWAS3625.RN,1,Low,Yes
SEEDGWAS3639.RN,1,Low,Yes
SEEDGWAS3640.RN,1,Low,Yes
SEEDGWAS3641.RN,1,Low,Yes
SEEDGWAS3686.RN,1,Low,Yes
SEEDGWAS3699.RN,1,Low,Yes
SEEDGWAS3704.RN,1,Low,Yes
SEEDGWAS3709.RN,1,Low,Yes
SEEDGWAS3721.RN,1,Low,Yes
SEEDGWAS3729.RN,1,Low,Yes
SEEDGWAS3736.RN,1,Low,Yes
SEEDGWAS3751.RN,1,Low,Yes
SEEDGWAS3780.RN,1,Low,Yes
SEEDGWAS3793.RN,1,Low,Yes
SEEDGWAS3795.RN,1,Low,Yes
SEEDGWAS3805.RN,1,Low,Yes
SEEDGWAS3810.RN,1,Low,Yes
SEEDGWAS3813.RN,1,Low,Yes
SEEDGWAS3827.RN,1,Low,Yes
SEEDGWAS3832.RN,1,Low,Yes
SEEDGWAS3880.RN,1,Low,Yes
SEEDGWAS3885.RN,1,Low,Yes
SEEDGWAS3886.RN,1,Low,Yes
SEEDGWAS3892.RN,1,Low,Yes
SEEDGWAS3900.RN,1,Low,Yes
SEEDGWAS3901.RN,1,Low,Yes
SEEDGWAS3908.RN,1,Low,Yes
SEEDGWAS3913.RN,1,Low,Yes
SEEDGWAS3914.RN,1,Low,Yes
SEEDGWAS3923.RN,1,Low,Yes
SEEDGWAS3927.RN,1,Low,Yes
SEEDGWAS3935.RN,1,Low,Yes
SEEDGWAS3938.RN,1,Low,Yes
SEEDGWAS3972.RN,1,Low,Yes
SEEDGWAS3988.RN,1,Low,Yes
SEEDGWAS3993.RN,1,Low,Yes
SEEDGWAS3997.RN,1,Low,Yes
SEEDGWAS4006.RN,1,Low,Yes
