Name,Mean,Copy,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP,KMeans_Ab10,RF_Ab10Type,KMeans_K10L2,KMeans_BChrom,Model,CDH
SEEDGWAS4180.RN,0.0292689296178514,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-019126,NA,Landrace,Unknown,Unknown,21.535731,-102.426139,1731,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4185.RN,0.0300970937235635,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-020688,NA,Landrace,Unknown,Unknown,21.69932,-99.481779,442,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4204.RN,0.028044066362036,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-023911,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4210.RN,0.0243895416562703,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000279,NA,Landrace,Unknown,Unknown,21.045822,-101.664012,1790,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4212.RN,0.0445951155163353,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000296,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4219.RN,0.0289778262536716,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-001542,NA,Landrace,Unknown,Unknown,20.794691,-100.049518,1900,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4227.RN,0.026847913955244,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006889,NA,Landrace,Unknown,Unknown,25.33333333,-105.7333333,1816,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4228.RN,0.0287592035531781,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006900,NA,Landrace,Unknown,Unknown,25.21539,-106.567942,1830,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4232.RN,0.0327884171187393,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007956,NA,Landrace,Unknown,Unknown,26.83333333,-107.0666667,2411,NA,NA,NA,NA,N10,NA,K10L2,Yes,High,K10L2
SEEDGWAS4235.RN,0.0351553722200933,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-010476,NA,Landrace,Unknown,Unknown,20.95,-101.4166667,1778,NA,NA,NA,NA,N10,NA,K10L2,Yes,Low,K10L2
